Term,Canada,,
Canada appeared in 500 documents,Total words(m),Frequency(f),Relative Frequency(f/m)
article #1,101,2,0.02
article #4,107,1,0.01
article #5,99,2,0.02
article #6,98,1,0.01
article #7,101,1,0.01
article #8,105,2,0.02
article #9,103,2,0.02
article #12,91,2,0.02
article #25,93,2,0.02
article #29,105,5,0.05
article #30,115,3,0.03
article #31,106,3,0.03
article #32,111,1,0.01
article #33,95,2,0.02
article #35,95,2,0.02
article #36,102,2,0.02
article #37,97,2,0.02
article #66,81,3,0.04
article #67,98,3,0.03
article #83,117,2,0.02
article #84,117,2,0.02
article #96,68,3,0.04
article #97,67,2,0.03
article #204,97,1,0.01
article #211,76,2,0.03
article #213,94,2,0.02
article #215,84,1,0.01
article #216,101,2,0.02
article #220,94,3,0.03
article #240,79,2,0.03
article #245,96,2,0.02
article #249,79,2,0.03
article #253,104,4,0.04
article #254,90,1,0.01
article #256,80,3,0.04
article #261,82,3,0.04
article #263,91,3,0.03
article #267,96,2,0.02
article #272,76,1,0.01
article #273,89,2,0.02
article #274,73,2,0.03
article #275,81,1,0.01
article #289,101,3,0.03
article #291,90,1,0.01
article #295,88,3,0.03
article #298,93,1,0.01
article #307,93,1,0.01
article #309,102,1,0.01
article #314,97,1,0.01
article #320,102,1,0.01
article #324,109,2,0.02
article #336,80,2,0.03
article #341,80,3,0.04
article #344,103,4,0.04
article #345,116,1,0.01
article #346,112,2,0.02
article #347,108,1,0.01
article #348,99,1,0.01
article #349,105,2,0.02
article #350,89,1,0.01
article #366,107,1,0.01
article #368,100,1,0.01
article #371,74,1,0.01
article #382,75,1,0.01
article #384,101,2,0.02
article #405,86,1,0.01
article #406,117,1,0.01
article #407,91,1,0.01
article #410,109,1,0.01
article #412,103,1,0.01
article #413,93,1,0.01
article #414,97,3,0.03
article #415,94,4,0.04
article #416,88,2,0.02
article #417,106,1,0.01
article #418,98,1,0.01
article #420,99,2,0.02
article #421,108,1,0.01
article #423,94,1,0.01
article #426,106,1,0.01
article #427,90,1,0.01
article #430,94,1,0.01
article #431,109,1,0.01
article #432,106,1,0.01
article #457,123,3,0.02
article #481,60,2,0.03
article #489,79,1,0.01
article #491,75,3,0.04
article #492,78,1,0.01
article #493,96,2,0.02
article #495,84,1,0.01
